sessions_per_user,users,total_sessions,completed_sessions
1,5,5,1
2,6,12,4
3,3,9,4
4,2,8,4
5,2,10,1
6,1,6,2
7,2,14,2
8,1,8,7
9,2,18,6
10,1,10,3
12,1,12,6
13,1,13,9
14,1,14,10
15,1,15,10
17,1,17,8
18,1,18,13
19,1,19,10
20,1,20,11
23,2,46,36
24,1,24,18
29,1,29,11
31,2,62,25
33,1,33,18
35,2,70,31
