exposure,pairs,students,assignments,first_full_pass_percent,first_pass_rate_percent,final_full_pass_percent,final_pass_rate_percent,mean_attempts
none,774,66,57,71.83,75.7,94.7,96.82,1.491
incomplete,37,20,22,59.46,68.47,94.59,97.3,1.838
completed,183,24,48,65.57,69.95,96.72,98.09,1.754
